NAME                                      VERSION                                  TYPE         
ace                                                                                java-archive  
activation                                1.1.1                                    java-archive  
adduser                                   3.118ubuntu5                             deb           
analytics-api                             1.3.1                                    java-archive  
analytics-client                          1.3.1                                    java-archive  
analytics-privacy                         1.3.1                                    java-archive  
annotations                               3.0.1                                    java-archive  
antlr4-runtime                            4.5.3                                    java-archive  
api-common                                1.7.0                                    java-archive  
apigateway-generic-java-sdk               1.3                                      java-archive  
apt                                       2.4.11                                   deb           
apt-utils                                 2.4.11                                   deb           
aws-iot-device-sdk-java                   1.2.0                                    java-archive  
aws-java-sdk-core                         1.11.409                                 java-archive  
aws-java-sdk-s3                           1.11.409                                 java-archive  
base-files                                12ubuntu4.3                              deb           
base-passwd                               3.5.52build1                             deb           
bash                                      5.1-6ubuntu1                             deb           
bash                                      5.1.16                                   binary        
bcpkix-jdk15on                            1.60                                     java-archive  
bcprov-jdk15on                            1.60                                     java-archive  
binutils                                  2.38-4ubuntu2.4                          deb           
binutils-common                           2.38-4ubuntu2.4                          deb           
binutils-x86-64-linux-gnu                 2.38-4ubuntu2.4                          deb           
bsdutils                                  1:2.37.2-4ubuntu3                        deb           
bson                                      4.6.1                                    java-archive  
bson-record-codec                         4.6.1                                    java-archive  
ca-certificates                           20230311ubuntu0.22.04.1                  deb           
ca-certificates-java                                                               java-archive  
ca-certificates-java                      20190909ubuntu1.2                        deb           
checker-qual                              3.12.0                                   java-archive  
classmate                                 1.5.1                                    java-archive  
coloring                                  1.0                                      java-archive  
commons-beanutils                         1.9.2                                    java-archive  
commons-cli                               1.4                                      java-archive  
commons-codec                             1.15                                     java-archive  
commons-daemon                            1.0.15                                   java-archive  
commons-io                                2.11.0                                   java-archive  
commons-lang3                             3.12.0                                   java-archive  
commons-logging                           1.2                                      java-archive  
commons-net                               3.8.0                                    java-archive  
commons-text                              1.10.0                                   java-archive  
commons-validator                         1.6                                      java-archive  
compiler                                  0.9.6                                    java-archive  
coreutils                                 8.32-4.1ubuntu1                          deb           
cron                                      3.0pl1-137ubuntu3                        deb           
cron4j                                    2.2.5                                    java-archive  
curl                                      7.81.0-1ubuntu1.15                       deb           
dash                                      0.5.11+git20210903+057cd650a4ed-3build1  deb           
debconf                                   1.5.79ubuntu1                            deb           
debianutils                               5.5-1ubuntu2                             deb           
diffutils                                 1:3.8-0ubuntu2                           deb           
dirmngr                                   2.2.27-3ubuntu2.1                        deb           
dom4j                                     1.6.1                                    java-archive  
dpkg                                      1.21.1ubuntu2.2                          deb           
e2fsprogs                                 1.46.5-2ubuntu1.1                        deb           
ecj                                       3.18.0                                   java-archive  
eddsa                                     0.2.0                                    java-archive  
error_prone_annotations                   2.7.1                                    java-archive  
